Date,USDJPY,VOO,QQQ,N225
2017-04-05,110.85399627685547,192.23092651367188,126.06120300292969,170.14514735350076
2017-04-06,110.38099670410156,192.73031616210938,126.12804412841797,168.4806361798685
2017-04-07,110.89700317382812,192.56092834472656,126.06120300292969,168.30599858608159
2017-04-08,111.00633494059245,192.60550435384116,126.07713317871094,168.54035885478282
2017-04-09,111.11566670735677,192.65008036295572,126.09306335449219,168.77425792799298
2017-04-10,111.2249984741211,192.6946563720703,126.10899353027344,169.00769716574763
2017-04-11,110.71700286865234,192.453857421875,125.5644760131836,169.33143649911014
2017-04-12,109.58699798583984,191.66006469726562,125.0582275390625,169.295716791122
2017-04-13,108.9020004272461,190.38470458984375,124.5615005493164,169.20570578554594
2017-04-14,109.10099792480469,190.80165100097656,124.81940650939941,168.0610737585774
2017-04-15,108.84166463216145,191.21859741210938,125.07731246948242,168.5216216612797
2017-04-16,108.58233133951823,191.6355438232422,125.33521842956543,168.98436946893068
2017-04-17,108.322998046875,192.052490234375,125.59312438964844,169.44933298173729
2017-04-18,109.11199951171875,191.5262908935547,125.40209197998047,168.8044387984277
2017-04-19,108.53500366210938,191.107177734375,125.6026840209961,169.82723173929242
2017-04-20,108.83399963378906,192.66787719726562,126.65341186523438,169.34496845095265
2017-04-21,109.375,192.10595703125,126.62479400634766,170.24685714285715
2017-04-22,109.5759989420573,192.78973388671875,127.13424682617188,170.7106829998703
2017-04-23,109.77699788411458,193.4735107421875,127.6436996459961,171.172810349758
2017-04-24,109.97799682617188,194.15728759765625,128.1531524658203,171.63324850524134
2017-04-25,109.64099884033203,195.32562255859375,129.07972717285156,174.01638328660104
2017-04-26,111.0459976196289,195.18296813964844,128.898193359375,173.70666301340273
2017-04-27,111.19100189208984,195.3345489501953,129.6719207763672,173.1423299819604
2017-04-28,111.22599792480469,194.95997619628906,129.90121459960938,172.59220499287517
2017-04-29,111.25133260091145,195.11752319335938,130.2864786783854,172.8938091525304
2017-04-30,111.27666727701823,195.2750701904297,130.67174275716147,173.19527597802767
2017-05-01,111.302001953125,195.4326171875,131.0570068359375,173.49660556314748
2017-05-02,111.81199645996094,195.4951171875,131.2766876220703,173.9142474368872
2017-05-03,111.96900177001953,195.29888916015625,130.8564453125,174.34020943443653
2017-05-04,112.78299713134766,195.4772186279297,130.9041748046875,173.74692743737558
2017-05-05,112.53700256347656,196.26206970214844,131.3817901611328,174.79316820842755
2017-05-06,112.58600107828777,196.26505533854166,131.4773152669271,175.38325395374542
2017-05-07,112.63499959309895,196.2680409749349,131.57284037272134,175.97282630047079
2017-05-08,112.68399810791016,196.27102661132812,131.66836547851562,176.5618859183287
2017-05-09,113.2300033569336,196.02125549316406,132.1268768310547,175.24507119768555
2017-05-10,113.697998046875,196.3869171142578,132.2032928466797,175.0258596070061
2017-05-11,114.3280029296875,195.98561096191406,132.09823608398438,174.5989632437338
2017-05-12,113.80899810791016,195.68235778808594,132.39434814453125,174.7129025050524
2017-05-13,113.62966664632161,196.0123545328776,132.53443908691406,174.9474180783274
2017-05-14,113.45033518473308,196.34235127766928,132.67453002929688,175.18267505127213
2017-05-15,113.27100372314453,196.67234802246094,132.8146209716797,175.41867694525442
2017-05-16,113.64199829101562,196.63668823242188,133.36865234375,175.2857272140632
2017-05-17,112.64600372314453,193.1495361328125,129.97764587402344,175.90398420236
2017-05-18,111.1259994506836,193.85406494140625,131.11431884765625,175.96115644996087
2017-05-19,111.4010009765625,195.05807495117188,131.66836547851562,175.8580227636076
2017-05-20,111.36199951171875,195.4207509358724,132.03771464029947,176.18157925265794
2017-05-21,111.322998046875,195.7834269205729,132.40706380208334,176.50536245455748
2017-05-22,111.28399658203125,196.14610290527344,132.7764129638672,176.8293726076729
2017-05-23,110.89099884033203,196.5296630859375,132.91018676757812,176.8698947794262
2017-05-24,111.95700073242188,197.00230407714844,133.52151489257812,176.34431379539973
2017-05-25,111.52400207519531,197.92088317871094,134.65823364257812,177.65799729833898
2017-05-26,111.7300033569336,197.9298095703125,134.89703369140625,176.20011860966528
2017-05-27,111.57200113932292,197.88298416137695,134.92568969726562,176.43688797949375
2017-05-28,111.41399892171223,197.8361587524414,134.954345703125,176.6743289002199
2017-05-29,111.25599670410156,197.78933334350586,134.98300170898438,176.91244423298923
2017-05-30,111.17400360107422,197.7425079345703,135.01165771484375,177.00045848834452
2017-05-31,110.83899688720703,197.69798278808594,134.96388244628906,177.28931932230483
2017-06-01,110.7959976196289,199.24085998535156,135.48927307128906,179.24861658862437
2017-06-02,111.43699645996094,199.8651885986328,137.0367431640625,181.0644573871358
2017-06-03,111.11233011881511,199.82058715820312,137.0272013346354,181.57414465621935
2017-06-04,110.78766377766927,199.77598571777344,137.01765950520834,182.08681923084112
2017-06-05,110.46299743652344,199.73138427734375,137.00811767578125,182.60250745133888
2017-06-06,110.38099670410156,199.1605987548828,136.4635772705078,181.00851584249722
2017-06-07,109.50900268554688,199.4906005859375,136.99853515625,182.4929334623791
2017-06-08,109.9000015258789,199.5619354248047,137.14181518554688,181.15795713557685
2017-06-09,109.85900115966797,199.33009338378906,133.71253967285156,182.17223490442927
2017-06-10,110.0020014444987,199.30333455403647,133.4737345377604,181.61820943356543
2017-06-11,110.14500172932942,199.27657572428384,133.23492940266928,181.06562253547196
2017-06-12,110.28800201416016,199.24981689453125,132.99612426757812,180.51446861435468
2017-06-13,109.9209976196289,200.221923828125,134.0755615234375,181.02774202302749
2017-06-14,110.05500030517578,200.00790405273438,133.49282836914062,180.66893349792574
2017-06-15,109.44599914550781,199.6065673828125,132.90060424804688,181.20187551244985
2017-06-16,110.9520034790039,199.66001892089844,132.3240203857422,179.74672957932643
2017-06-17,110.95266977945964,200.2040761311849,133.0615488688151,180.11965417452615
2017-06-18,110.95333607991536,200.74813334147134,133.79907735188803,180.49257429072887
2017-06-19,110.9540023803711,201.2921905517578,134.53660583496094,180.86548992801536
2017-06-20,111.6729965209961,199.9722137451172,133.4829559326172,181.1575831803385
2017-06-21,111.33399963378906,199.8919219970703,134.8047637939453,180.88624435251154
2017-06-22,111.30999755859375,199.7760009765625,134.76646423339844,180.671190429582
2017-06-23,111.29000091552734,200.1164093017578,135.28369140625,180.9027743395953
2017-06-24,111.2730000813802,200.13731892903647,135.07296244303384,180.99236235486123
2017-06-25,111.25599924723308,200.1582285563151,134.86223347981772,181.08197774970208
2017-06-26,111.23899841308594,200.17913818359375,134.65150451660156,181.1716205366714
2017-06-27,111.85800170898438,198.58444213867188,132.20904541015625,180.81039831525555
2017-06-28,112.18800354003906,200.3404083251953,134.11509704589844,179.4346054929626
2017-06-29,112.35399627685547,198.61134338378906,131.7875518798828,179.96957341352095
2017-06-30,112.00900268554688,198.94277954101562,131.83551025390625,178.85553131601108
2017-07-01,112.0933354695638,199.089111328125,131.37254842122397,178.7874955705249
2017-07-02,112.17766825358073,199.23544311523438,130.90958658854166,178.7195621206902
2017-07-03,112.26200103759766,199.38177490234375,130.44662475585938,178.65173073596927
2017-07-04,113.38600158691406,199.55648803710938,131.08837890625,176.67392208040383
2017-07-05,112.96199798583984,199.731201171875,131.73013305664062,177.77333277950962
2017-07-06,113.18699645996094,197.93942260742188,130.54238891601562,176.64626831888546
2017-07-07,113.14900207519531,199.1936798095703,131.95046997070312,176.13137966966553
2017-07-08,113.42766825358073,199.26235961914062,132.2378133138021,176.14503021799183
2017-07-09,113.70633443196614,199.33103942871094,132.52515665690103,176.1586138580645
2017-07-10,113.98500061035156,199.39971923828125,132.8125,176.17213108060767
2017-07-11,113.86650085449219,199.24740600585938,133.18606567382812,177.36103522279495
2017-07-12,113.74800109863281,200.7435760498047,134.76646423339844,176.69216746892417
