,Date,SPXL,VOO,Total,VOO_75%+Spxl_25%,Stock,Remainder,Have_voo,Have_spxl,Voo_%,Spxl_%,Voo_100%,Spxl_100%
4094,2022-03-18,112.98286437988281,398.38970947265625,70846.0585656961,70854.99319950744,70837.12393188477,8.934633811339154,52985.83135986328,17851.292572021484,0.748,0.252,43489.432908852956,198469.18663918134
4095,2022-03-19,113.0092061360677,398.3961893717448,70851.0823897521,70860.01702356344,70842.14775594076,8.934633811339154,52986.69318644206,17855.454569498695,0.748,0.252,43490.14027435454,198515.45938109982
4096,2022-03-20,113.03554789225261,398.4026692708333,70856.10621380807,70865.04084761941,70847.17157999674,8.934633811339154,52987.55501302083,17859.616566975914,0.748,0.252,43490.84763985612,198561.73212301836
4097,2022-03-21,113.0618896484375,398.4091491699219,70861.13003786407,70870.06467167541,70852.19540405273,8.934633811339154,52988.41683959961,17863.778564453125,0.748,0.252,43491.55500535771,198608.00486493684
4098,2022-03-22,116.91390991210938,403.0356140136719,72085.06906374298,72158.62372318908,72011.51440429688,73.55465944610478,54006.77227783203,18004.742126464844,0.749,0.25,43996.593985139,205374.58254770914
4099,2022-03-23,112.49890899658203,397.8453674316406,70709.66588075958,70731.070271651,70688.26148986816,21.40439089141728,52913.4338684082,17774.82762145996,0.748,0.251,43430.01087532817,197619.05567622036
4100,2022-03-24,117.53616333007812,403.7591247558594,72292.08178957306,72379.87170902893,72204.29187011719,87.7899194558704,54103.722717285156,18100.56915283203,0.748,0.25,44075.57461925941,206467.65210675722
4101,2022-03-25,119.14611053466797,405.80706787109375,72814.4380365213,72902.22795597717,72726.64811706543,87.7899194558704,54378.14709472656,18348.501022338867,0.747,0.252,44299.13432121312,209295.7350552708
4102,2022-03-26,120.00870005289714,406.7400309244792,73072.29387148224,73160.08379093811,72984.50395202637,87.7899194558704,54503.16414388021,18481.33980814616,0.746,0.253,44400.97940694677,210810.98642569818
4103,2022-03-27,120.8712895711263,407.67299397786456,73330.14970644318,73417.93962589905,73242.3597869873,87.7899194558704,54628.18119303385,18614.17859395345,0.745,0.254,44502.8244926804,212326.23779612553
4104,2022-03-28,121.73387908935547,408.60595703125,73588.00554140411,73632.3911410968,73543.61994171143,44.38559969268681,55161.80419921875,18381.815742492676,0.75,0.25,44604.66957841405,213841.48916655287
4105,2022-03-29,126.24766540527344,413.774658203125,74967.36193331085,75011.74753300354,74922.97633361816,44.38559969268681,55859.578857421875,19063.39747619629,0.745,0.254,45168.90072569371,221770.54552125104
4106,2022-03-30,123.9957046508789,411.20001220703125,74279.73864992462,74324.1242496173,74235.35305023193,44.38559969268681,55512.00164794922,18723.351402282715,0.747,0.252,44887.84453461041,217814.6817562355
4107,2022-03-31,118.32632446289062,404.88067626953125,72570.55188997589,72664.83919254944,72476.26458740234,94.28730257354619,54254.01062011719,18222.253967285156,0.748,0.251,44198.00659515613,207855.67353995354
4108,2022-04-01,119.09672546386719,406.00213623046875,72839.4692788919,72933.75658146545,72745.18197631836,94.28730257354619,54404.28625488281,18340.895721435547,0.747,0.252,44320.42857687778,209208.98371569603
4109,2022-04-02,120.06796518961589,407.14963785807294,73142.80541475616,73237.09271732971,73048.51811218262,94.28730257354619,54558.05147298177,18490.466639200848,0.746,0.253,44445.69334617252,210915.09339399988
4110,2022-04-03,121.03920491536458,408.29713948567706,73446.14155062042,73540.42885319397,73351.85424804688,94.28730257354619,54711.81669108073,18640.037556966145,0.745,0.254,44570.958115467256,212621.20307230364
4111,2022-04-04,122.01044464111328,409.44464111328125,73749.47768648468,73800.35168186828,73698.60369110107,50.87399538360478,55275.02655029297,18423.577140808105,0.749,0.25,44696.222884762,214327.3127506075
4112,2022-04-05,117.76333618164062,404.3832702636719,72424.87924440704,72526.8465015094,72322.91198730469,101.96725710235478,54187.35821533203,18135.553771972656,0.748,0.25,44143.70824204626,206866.71094920716
4113,2022-04-06,114.19774627685547,400.2873840332031,71326.92964418732,71372.39330021545,71281.46598815918,45.46365602813603,53238.222076416016,18043.243911743164,0.746,0.253,43696.588838138836,200603.28567515657
4114,2022-04-07,115.81756591796875,402.3060607910156,71851.34515627228,71896.80881230041,71805.88150024414,45.46365602813603,53506.70608520508,18299.175415039062,0.745,0.255,43916.95373546451,203448.71085036718
4115,2022-04-08,114.97803497314453,401.330810546875,71588.99098451935,71634.45464054748,71543.52732849121,45.46365602813603,53376.997802734375,18166.529525756836,0.746,0.254,43810.492451316284,201973.96488165588
4116,2022-04-09,112.97300465901692,399.0130615234375,70963.93557476999,71009.39923079812,70918.47191874185,45.46365602813603,53068.73718261719,17849.734736124672,0.748,0.252,43557.479915455944,198451.86674920082
4117,2022-04-10,110.96797434488933,396.6953125,70338.88016502066,70448.13521051413,70229.62511952719,109.25504549346806,52363.78125,17865.843869527183,0.744,0.254,43304.4673795956,194929.76861674577
4118,2022-04-11,108.96294403076172,394.3775634765625,69710.12741335235,69710.41951481506,69709.83531188965,0.2921014627063414,52057.83837890625,17651.9969329834,0.747,0.253,43051.45484373524,191407.67048429072
4119,2022-04-12,107.7875747680664,392.93426513671875,69329.20221193634,69329.49431339905,69328.91011047363,0.2921014627063414,51867.322998046875,17461.587112426758,0.748,0.252,42893.90000528026,189342.98056119325
4120,2022-04-13,111.41242980957031,397.3714599609375,70502.13844545685,70550.7088061969,70453.5680847168,48.57036074005009,52850.40417480469,17603.16390991211,0.75,0.25,43378.27769381746,195710.51280354548
4121,2022-04-14,107.3134765625,392.5441589355469,69212.47279604278,69224.33340946838,69200.61218261719,11.860613425596966,51815.82897949219,17384.783203125,0.749,0.251,42851.31482534263,188510.16502086946
4122,2022-04-15,107.32829284667969,392.56121826171875,69217.12486513458,69228.98547856018,69205.26425170898,11.860613425596966,51818.080810546875,17387.18344116211,0.749,0.251,42853.17707329578,188536.19176294492
4123,2022-04-16,107.34310913085938,392.5782775878906,69221.77693422638,69233.63754765198,69209.91632080078,11.860613425596966,51820.33264160156,17389.58367919922,0.749,0.251,42855.03932124893,188562.2185050203
4124,2022-04-17,107.35792541503906,392.5953369140625,69226.42900331818,69238.28961674377,69214.56838989258,11.860613425596966,51822.58447265625,17391.983917236328,0.749,0.251,42856.901569202084,188588.24524709577
